news_headline,news_article,news_category
DMK's Stalin stakes claim to form government in Tamil Nadu,"DMK president MK Stalin on Wednesday staked claim to form the government in Tamil Nadu. He submitted a letter, signed by 133 MLAs confirming his election, to Governor Banwarilal Purohit. This comes after Stalin was unanimously elected leader of DMK's legislature party on Tuesday following the meeting of newly-elected MLAs at the party headquarters in Chennai.",politics
Around 1L people ran away due to violence after TMC's win in WB: Nadda,"BJP chief JP Nadda has claimed that 80,000 to one lakh people ran away from their homes in face of attack following TMC's win in the West Bengal Assembly elections. He added that at least 14 BJP workers were killed, women were molested and raped. ""Mamata Banerjee's silence speaks of her involvement. She has blood on her hands,"" Nadda alleged.",politics
Nadda meets families of BJP workers killed in violence in Bengal,"BJP chief JP Nadda on Tuesday visited Kolkata and met family members of party workers killed in violence after the results of West Bengal Assembly elections were declared. He alleged, ""TMC goons went to the house of Haran Adhikari (BJP worker)...beat him up [and] he died."" Nadda said, ""I had said it earlier too, Mamata ji doesn't represent Bengali culture.""",politics
Bihar govt unable to draw oxygen quota allotted by Centre: Congress,"The Congress in Bihar has criticised the state government's handling of the COVID-19 pandemic. It alleged that the Bihar government was unable to draw its quota of oxygen allotted by the Centre. ""This often led to a serious crisis of oxygen for patients admitted in hospitals,"" said Bihar Pradesh Congress Committee chief Madan Mohan Jha.",politics
B'luru bed blocking scam BJP's drama to divert attention: Kumaraswamy,"Even as four people have been arrested in the alleged 'bed blocking scam' in Bengaluru, Ex-Karnataka CM and JDS leader HD Kumaraswamy said that it is BJP's drama to divert people's attention from the Chamarajanagar hospital incident. Reportedly, 24 people died due to oxygen shortage in Chamarajanagar hospital. He added, ""They are now playing bed-blocking drama in Karnataka.""",politics
Heard of such incidents during partition: Nadda on violence in WB,"BJP National President JP Nadda, while talking about the post-poll violence in West Bengal, on Tuesday said he had heard of such incidents during India's partition. ""We had never seen such intolerance after the results of a poll in independent India,"" he added. Nadda stated that he is shocked and worried to witness the incidents in the state after results. ",politics
PM Modi should apologise: Kapil Sibal on COVID-19 situation,"Senior Congress leader Kapil Sibal said the way Centre showed negligence regarding the second wave of COVID-19 and went ahead with political rallies and Kumbh is an example of how such a pandemic should not be handled. ""The Prime Minister should come in front of the country and apologise,"" he added.",politics
"Allow free vaccination, ensure drugs' supply: Mamata writes to PM","Hours after being sworn in as the West Bengal CM for the third consecutive term, Mamata Banerjee wrote to PM Narendra Modi and urged him to allow free COVID-19 vaccination to all. She also requested him to ensure availability of Remdesivir and Tocilizumab. ""At least 10,000 doses of Remdesivir...1,000 vials of Tocilizumab is daily requirement of our state,"" she added.",politics
"Provide security, counselling to Nandigram RO: EC to Bengal govt","The Election Commission has asked the West Bengal government to keep a strict watch and monitor on regular basis the security provided to the Returning Officer (RO) of Nandigram.  ""He should also be provided medical support/counselling,"" the EC asked the state. The constituency witnessed a close contest between TMC chief Mamata Banerjee and BJP's Suvendu Adhikari in the Assembly polls.",politics
Work phones on COVID-19: O'Brien to PM after he called Bengal Guv ,"TMC leader Derek O'Brien on Tuesday took a dig at Prime Minister Narendra Modi over his telephonic conversation with West Bengal Governor Jagdeep Dhankhar over post-poll violence in the state. ""PM makes a call to West Bengal Governor on 'political violence'. (Exaggerated 214%) Stop the stunts, Mr Prime Minister. Work the phones on COVID-19,"" tweeted the TMC leader.",politics
Priority is to end senseless violence: WB Guv after Mamata takes oath,"After Mamata Banerjee took oath as the CM of West Bengal for a third consecutive term, Governor Jagdeep Dhankhar congratulated her. ""Our priority is...we must bring an end to this senseless violence that has affected society at large,"" he said. ""I've every hope...the CM on an urgent basis will take all steps to restore rule of law,"" Dhankhar added.",politics
"Mamata lost Nandigram, shouldn't become CM ethically: Tripura CM","Tripura CM Biplab Kumar Deb said Trinamool Congress (TMC) chief Mamata Banerjee should not become the CM of West Bengal ""ethically"" as she has lost the election from Nandigram seat in the recently held state Assembly elections. Deb also urged Banerjee to instruct her supporters to refrain from violence and maintain the law-and-order situation in the state.",politics
K'taka CM must resign: Siddaramaiah on deaths due to oxygen shortage,"Karnataka Leader of Opposition Siddaramaiah on Tuesday urged the state government to initiate a judicial probe into the Chamarajanagar incident, in which over 24 patients died allegedly due to oxygen shortage. He also said Chief Minister BS Yediyurappa and state Health Minister K Sudhakar should take moral responsibility for the ""disaster"" and resign immediately. ",politics
We take oath of dismantling political violence in WB: Nadda,"Hours after Mamata Banerjee took oath as CM of West Bengal, BJP national president JP Nadda said, ""Those who were supposed to protect others, are the ones responsible for this [alleged post-poll] violence. They can take oath, everyone has the right to do that in a democracy. But we also take an oath that we'll dismantle political violence in Bengal.""",politics
400 BJP workers crossed over to Assam amid WB violence: Himanta Sarma,"BJP minister Himanta Biswa Sarma tweeted that 300-400 BJP workers in West Bengal have crossed over to Assam ""after confronted with brazen persecution and violence"". ""We are giving shelter and food. Mamata Banerjee must stop this ugly dance of demonocracy!"" Sarma added. BJP has alleged that Trinamool Congress (TMC) goons have attacked its workers following West Bengal Assembly election results.",politics
BJP will play role of constructive opposition in WB: Ashok Lahiri,"The BJP will play the role of a constructive opposition in West Bengal, former Chief Economic Adviser to the Centre and newly-elected MLA of the party Ashok Lahiri said. Lahiri defeated TMC's Sekhar Dasgupta from the Balurghat constituency. ""I have won my battle, but we have lost the larger war,"" Lahiri said.",politics
DMK men vandalise Amma canteen boards in Chennai; removed from party,"Some flex board at an Amma canteen in Chennai were vandalised by two DMK party workers on Tuesday. In visuals that went viral on social media, the men were seen tearing up the boards. DMK Saidapet MLA Ma Subramanian said that the two party workers were arrested and have been removed from the primary membership of the party.",politics
"Separatist leader Ashraf Sehrai, arrested under PSA, dies in Jammu","Separatist leader Mohammad Ashraf Sehrai, who was arrested under the Public Safety Act (PSA) in July last year, died at a Jammu hospital at the age of 77. Sehrai tested negative for COVID-19 in a rapid antigen test, but his RT-PCR report is awaited. He was shifted to the hospital from the district jail in Udhampur after his health deteriorated.",politics
